group,central,percent_70,percent_60,percent_50,percent_40,percent_30,percent_20,percent_10,percent_0,central_12
0-4,0,0,0,0,0,0,0,0,0,0
5-9,0,0,0,0,0,0,0,0,0,0
10-14,0,0,0,0,0,0,0,0,0,0.8
15-19,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0.8
20-24,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0.8
25-29,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0.8
30-34,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0.9
35-39,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0,0.9
40-44,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
45-49,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
50-54,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
55-59,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
60-64,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
65-69,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
70-74,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
75-79,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
80+,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
CHW,0.85,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.85
CHR,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
